CGUID,Relatioship,CGAge,CGSex
870,4,37,2
871,3,37,1
872,4,41,2
873,3,29,1
874,3,49,1
875,3,54,1
876,4,54,2
877,3,37,1
878,3,49,1
879,3,54,1
880,3,41,1
881,3,49,1
882,3,49,1
883,3,54,1
884,3,51,1
885,4,46,2
886,3,54,1
887,3,49,1
888,3,35,1
889,3,35,1
890,3,49,1
891,3,54,1
892,2,54,1
893,2,54,1
894,2,54,1
895,2,54,1
896,2,28,1
897,2,26,1
898,2,31,1
899,2,88,1
900,2,54,1
901,2,54,1
902,2,54,1
903,2,54,1
904,2,33,1
905,2,49,1
906,2,33,1
907,2,38,1
908,2,33,1
909,2,49,1
910,2,49,1
911,2,40,1
912,2,30,1
913,4,40,2
914,2,49,1
915,2,25,1
916,2,36,1
917,3,31,1
918,3,30,1
919,3,36,1
920,3,37,1
921,3,31,1
922,3,40,1
923,3,41,1
924,3,29,1
925,3,27,1
926,3,30,1
927,3,26,1
928,3,29,1
929,3,33,1
930,3,36,1
931,3,26,1
932,3,30,1
933,3,33,1
934,3,32,1
935,3,35,1
936,4,35,2
937,3,32,1
938,2,33,2
939,3,29,1
940,3,46,1
941,3,60,1
942,3,31,1
943,3,46,1
944,3,29,1
945,3,40,1
946,3,31,1
947,3,36,1
948,3,33,1
949,3,36,1
950,2,40,2
951,3,30,1
952,3,30,1
953,3,31,1
954,3,36,1
955,3,32,1
956,3,40,1
957,3,37,1
958,3,35,1
959,3,33,1
960,3,37,1
961,3,34,1
962,2,54,2
963,3,54,1
964,3,54,1
965,3,54,1
966,3,49,1
967,3,54,1
968,2,30,2
969,3,55,1
970,3,34,1
971,3,31,1
972,3,28,1
973,3,37,1
974,3,38,1
975,3,27,1
976,3,45,1
977,3,39,1
978,3,48,1
979,4,35,2
980,3,50,1
981,3,48,1
982,3,39,1
983,3,42,1
984,3,36,1
985,2,62,1
986,3,35,1
987,3,42,1
988,3,37,1
989,3,38,1
990,2,63,1
991,4,49,2
992,3,39,1
993,3,39,1
994,3,45,1
995,3,41,1
996,4,37,2
997,3,50,1
998,3,39,1
999,3,41,1
1000,3,39,1
1001,3,41,1
1002,2,41,1
1003,3,40,1
1004,3,39,1
1005,3,41,1
1006,2,43,2
1007,2,59,1
1008,2,70,1
1009,2,68,1
1010,2,36,1
1011,3,48,1
1012,3,42,1
1013,3,48,1
1014,2,48,1
1015,3,49,1
1016,3,42,1
1017,3,39,1
1018,3,35,1
1019,2,48,1
1020,2,41,1
1021,3,39,1
1022,3,48,1
1023,3,36,1
1024,2,59,1
1025,2,39,1
1026,2,48,2
1027,3,37,1
1028,2,63,1
1029,2,64,1
1030,2,35,1
1031,3,48,1
1032,2,59,1
1033,3,37,1
1034,2,59,1
1035,3,45,1
1036,3,45,1
1037,2,65,1
1038,3,41,1
1039,3,41,1
1040,4,40,2
1041,3,39,1
1042,3,39,1
1043,3,39,1
1044,3,48,1
1045,3,48,1
1046,3,43,1
1047,3,45,1
1048,4,49,2
1049,3,36,1
1050,3,40,1
1051,3,36,1
1052,3,48,1
1053,4,37,2
1054,2,36,1
1055,3,38,1
1056,2,60,1
1057,3,38,1
1058,3,43,1
1059,3,42,1
1060,2,41,1
1061,4,50,2
1062,3,40,1
1063,3,45,1
1064,3,42,1
1065,3,45,1
1066,3,36,1
1067,3,48,1
1068,3,40,1
1069,3,45,1
1070,3,42,1
1071,3,48,1
1072,2,63,2
1073,2,52,2
1074,3,39,1
1075,2,36,1
1076,3,40,1
1077,3,43,1
1078,3,49,1
1079,2,59,1
1080,3,41,1
1081,2,68,1
1082,2,68,1
1083,4,41,2
1084,4,40,2
1085,3,49,1
1086,3,38,1
1087,2,41,1
1088,3,37,1
1089,2,50,1
1090,3,45,1
1091,3,43,1
1092,3,42,1
1093,4,56,2
1094,3,39,1
1095,3,36,1
1096,4,45,2
1097,3,49,1
1098,3,42,1
1099,3,41,1
1100,3,67,1
1101,3,39,1
1102,2,56,1
1103,3,48,1
1104,3,41,1
1105,2,70,1
1106,3,62,1
1107,3,41,1
1108,3,38,1
1109,3,36,1
1110,2,60,1
1111,2,45,1
1112,3,49,1
1113,3,37,1
1114,2,58,1
1115,2,39,1
1116,3,43,1
1117,2,48,1
1118,3,41,1
1119,2,35,2
1120,3,39,1
1121,3,36,1
1122,3,45,1
1123,2,63,1
1124,3,45,1
1125,4,49,2
1126,2,37,2
1127,2,48,1
1128,3,39,1
1129,3,43,1
1130,3,48,1
1131,3,35,1
1132,2,39,1
1133,3,36,1
1134,2,59,2
1135,3,39,1
1136,3,40,1
1137,2,63,1
1138,3,48,1
1139,3,45,1
1140,3,48,1
1141,2,41,1
1142,2,71,1
1143,3,39,1
1144,3,39,1
1145,2,65,1
1146,3,65,1
1147,3,48,1
1148,3,40,1
1149,3,53,1
1150,4,38,2
1151,3,41,1
1152,3,37,1
1153,3,50,1
1154,3,40,1
1155,2,63,1
1156,2,42,2
1157,3,50,1
1158,2,52,2
1159,3,45,1
1160,3,49,1
1161,3,42,1
1162,2,58,1
1163,3,37,1
1164,2,48,2
1165,2,39,1
1166,2,43,1
1167,2,46,1
1168,3,41,1
1169,3,45,1
1170,2,42,1
1171,4,41,2
1172,3,38,1
1173,3,48,1
1174,3,35,1
1175,3,49,1
1176,3,45,1
1177,4,49,2
1178,3,48,1
1179,3,47,1
1180,3,48,1
1181,4,41,2
1182,3,35,1
1183,3,39,1
1184,3,36,1
1185,3,45,1
1186,2,68,1
1187,3,45,1
1188,2,59,1
1189,3,37,1
1190,4,48,2
1191,3,39,1
1192,4,43,2
1193,3,48,1
1194,2,66,1
1195,3,35,1
1196,2,62,1
1197,2,65,1
1198,2,58,1
1199,3,39,1
1200,4,40,2
1201,3,43,1
1202,3,48,1
1203,3,59,1
1204,3,63,1
1205,3,58,1
1206,3,35,1
1207,3,39,1
1208,4,42,2
1209,3,39,1
1210,3,40,1
1211,2,58,1
1212,3,48,1
1213,3,59,1
1214,3,42,1
1215,3,41,1
1216,3,40,1
1217,2,68,1
1218,3,53,1
1219,3,49,1
1220,3,52,1
1221,3,36,1
1222,3,45,1
1223,4,42,2
1224,3,39,1
1225,2,63,2
1226,2,60,1
1227,3,43,1
1228,3,41,1
1229,3,39,1
1230,3,40,1
1231,3,41,1
1232,3,37,1
1233,3,39,1
1234,4,35,2
1235,3,39,1
1236,3,45,1
1237,3,43,1
1238,3,35,1
1239,3,43,1
1240,2,49,1
1241,3,37,1
1242,4,39,2
1243,3,38,1
1244,4,40,2
1245,4,43,2
1246,2,53,1
1247,3,45,1
1248,3,37,1
1249,2,39,1
1250,4,45,2
1251,3,44,1
1252,2,37,1
1253,2,58,1
1254,3,53,1
1255,4,52,2
1256,3,45,1
1257,3,43,1
1258,2,37,2
1259,4,38,2
1260,3,39,1
1261,2,54,1
1262,3,45,1
1263,2,56,2
1264,3,43,1
1265,3,45,1
1266,2,43,2
1267,2,43,1
1268,3,45,1
1269,3,43,1
1270,2,42,1
1271,3,43,1
1272,3,43,1
1273,3,37,1
1274,3,39,1
1275,2,57,1
1276,4,43,2
1277,3,38,1
1278,4,37,2
1279,3,37,1
1280,3,38,1
